,zona,area_quartos,enderecos_lista,aluguel
7,norte,120 m² construídos4 quartos,"Rua Manuel Pinheiro, Vila Mangalot, São Paulo Zona Norte, São Paulo",3.000
8,norte,200 m² construídos2 quartos,"Alameda Afonso Schmidt, Santa Teresinha, São Paulo Zona Norte, São Paulo",2.750
9,norte,55 m² construídos2 quartos,"Jardim Monjolo, São Paulo Zona Norte, São Paulo",900
10,norte,50 m² construídos1 quarto,"Lauzane Paulista, São Paulo Zona Norte, São Paulo",1.500
11,norte,170 m² construídos3 quartos,"Rua  Maria Medeiros, Casa Verde, São Paulo Zona Norte, São Paulo",4.500
12,norte,60 m² construídos1 quarto,"Vila América, São Paulo Zona Norte, São Paulo",950
13,norte,40 m² construídos1 quarto,"Rua Alcides Godói, Mandaqui, São Paulo Zona Norte, São Paulo",950
14,norte,50 m² construídos2 quartos,"Rua Professor Gama Cerqueira, Vila Santista, São Paulo Zona Norte, São Paulo",850
15,norte,300 m² construídos4 quartos,"Rua Miguel Gonçalves Dos Reis, Sítio Morro Grande, São Paulo Zona Norte, São Paulo",4.000
16,norte,150 m² construídos2 quartos,"R Lagoa Verde, Vila Paulicéia, São Paulo Zona Norte, São Paulo",2.200
17,norte,200 m² construídos2 quartos,"Al Afonso Schmidt, Santa Teresinha, São Paulo Zona Norte, São Paulo",2.200
18,norte,300 m² construídos3 quartos,"R Imaculada, Jardim Do Colégio (zona Norte), São Paulo Zona Norte, São Paulo",3.200
19,norte,100 m² construídos2 quartos,"Av Casa Verde, Casa Verde, São Paulo Zona Norte, São Paulo",2.000
20,norte,150 m² construídos4 quartos,"Cascata Alegre, Vila Espanhola, São Paulo Zona Norte, São Paulo",4.200
21,norte,300 m² construídos3 quartos,"Rua Imaculada, Jardim Do Colégio (zona Norte), São Paulo Zona Norte, São Paulo",3.200
22,norte,160 m² construídos,"R Pedro Doll, Santana, São Paulo Zona Norte, São Paulo",3.000
23,norte,75 m² construídos1 quarto,"Vila Prado, São Paulo Zona Norte, São Paulo",1.100
24,norte,120 m² construídos2 quartos,"Jardim Maracanã, São Paulo Zona Norte, São Paulo",2.000
25,norte,350 m² construídos3 quartos,"Rua Coronel Octávio Azeredo, Vila Mazzei, São Paulo Zona Norte, São Paulo",4.200
26,norte,125 m² construídos2 quartos,"Jardim Peri, São Paulo Zona Norte, São Paulo",1.250
27,norte,153 m² construídos3 quartos,"R Filipe Bandeira, Vila Maria Alta, São Paulo Zona Norte, São Paulo",3.100
28,norte,105 m² construídos3 quartos,"Jardim Primavera (zona Norte), São Paulo Zona Norte, São Paulo",2.200
29,norte,30 m² totais1 quarto,"Jardim São José (zona Norte), São Paulo Zona Norte, São Paulo",850
30,norte,100 m² construídos2 quartos,"Estr. Do Congo, Jardim Pirituba, São Paulo Zona Norte, São Paulo",1.200
31,norte,50 m² totais2 quartos,"Aguia, Jardim Peri, São Paulo Zona Norte, São Paulo",1.200
32,norte,568 m² construídos5 quartos,"Rua Montesano, Barro Branco, São Paulo Zona Norte, São Paulo",6.000
33,norte,142 m² construídos2 quartos,"Rua Bernardino De Sena, Vila Ester (zona Norte), São Paulo Zona Norte, São Paulo",2.990
34,norte,192 m² construídos,"Nossa Senhora Do Ó, São Paulo Zona Norte, São Paulo",2.500
35,norte,50 m² construídos1 quarto,"Limão, São Paulo Zona Norte, São Paulo",620
36,norte,30 m² construídos1 quarto,"Casa Verde Alta, São Paulo Zona Norte, São Paulo",650
37,norte,30 m² construídos1 quarto,"Casa Verde Alta, São Paulo Zona Norte, São Paulo",650
38,norte,50 m² construídos1 quarto,"R Guanapus, Vila Dom Pedro Ii, São Paulo Zona Norte, São Paulo",1.150
39,norte,120 m² construídos2 quartos,"R Irineu Morato, Casa Verde Alta, São Paulo Zona Norte, São Paulo",1.950
40,norte,120 m² construídos2 quartos,"Tremembé, São Paulo Zona Norte, São Paulo",850
41,norte,50 m² construídos2 quartos,"Vila Cruz Das Almas, São Paulo Zona Norte, São Paulo",1.050
42,norte,300 m² construídos4 quartos,"R São Mauro, Jardim São Bento, São Paulo Zona Norte, São Paulo",5.000
43,norte,35 m² construídos1 quarto,"Rua Rafael Da Silva, Jardim Virgínia Bianca, São Paulo Zona Norte, São Paulo",1.200
44,norte,30 m² construídos1 quarto,"Jardim Monjolo, São Paulo Zona Norte, São Paulo",900
45,norte,35 m² construídos1 quarto,"Não Informado, 00, Vila Amália (capital Zona Norte), São Paulo Zona Norte, São Paulo",950
46,norte,90 m² construídos2 quartos,"Rua Marechal Hermes Da Fonseca, Santana, São Paulo Zona Norte, São Paulo",2.200
47,norte,40 m² construídos1 quarto,"R Carlos Duarte Ferreira, Jardim Peri, São Paulo Zona Norte, São Paulo",700
0,norte,80 m² construídos2 quartos,"Rua Andaraí, Vila Maria, São Paulo Zona Norte, São Paulo",1.500
1,norte,35 m² construídos1 quarto,"Vila Palmeiras, São Paulo Zona Norte, São Paulo",650
2,norte,60 m² construídos1 quarto,"Vila Mangalot, São Paulo Zona Norte, São Paulo",1.450
3,norte,40 m² construídos1 quarto,"R Itaguacaba, Vila Romero, São Paulo Zona Norte, São Paulo",850
4,norte,170 m² construídos3 quartos,"Água Fria, São Paulo Zona Norte, São Paulo",4.000
5,norte,180 m² construídos3 quartos,"Água Fria, São Paulo Zona Norte, São Paulo",3.500
6,norte,132 m² construídos3 quartos,"Vila Gustavo, São Paulo Zona Norte, São Paulo",2.700
7,norte,240 m² construídos3 quartos,"Jardim São Paulo, São Paulo Zona Norte, São Paulo",4.000
8,norte,153 m² construídos,"Carandiru, São Paulo Zona Norte, São Paulo",3.500
9,norte,125 m² construídos3 quartos,"Carandiru, São Paulo Zona Norte, São Paulo",3.500
10,norte,50 m² construídos2 quartos,"Rua Monte D Ouro 122, Tucuruvi, São Paulo Zona Norte, São Paulo",1.200
11,norte,90 m² construídos2 quartos,"Chora Menino, São Paulo Zona Norte, São Paulo",1.700
12,norte,100 m² construídos2 quartos,"Vila Dom Pedro Ii, São Paulo Zona Norte, São Paulo",2.300
13,norte,159 m² construídos3 quartos,"Chora Menino, São Paulo Zona Norte, São Paulo",2.400
14,norte,84 m² construídos3 quartos,"Rua João Carlos Deynhausen, 151, Vila Santos, São Paulo Zona Norte, São Paulo",3.500
15,norte,250 m² construídos4 quartos,"Parque Mandaqui, São Paulo Zona Norte, São Paulo",3.700
16,norte,160 m² construídos3 quartos,"Santana, São Paulo Zona Norte, São Paulo",3.200
17,norte,60 m² construídos2 quartos,"Rua Joaquim De Oliveira Freitas, Vila Mangalot, São Paulo Zona Norte, São Paulo",1.300
18,norte,412 m² construídos4 quartos,"Jardim São Paulo, São Paulo Zona Norte, São Paulo",10.000
19,norte,50 m² construídos1 quarto,"R Soares Dos Reis, Vila Roque, São Paulo Zona Norte, São Paulo",1.000
20,norte,110 m² construídos3 quartos,"Vila Nova Mazzei, São Paulo Zona Norte, São Paulo",2.200
21,norte,2 quartos,"Rua Martins Júnior, 100, Chácara Nossa Senhora Aparecida, São Paulo Zona Norte, São Paulo",3.200
22,norte,200 m² construídos4 quartos,"Tucuruvi, São Paulo Zona Norte, São Paulo",3.500
23,norte,70 m² construídos,"Santana, São Paulo Zona Norte, São Paulo",4.000
24,norte,33 m² totais1 quarto,"Vila Zat, São Paulo Zona Norte, São Paulo",820
25,norte,90 m² construídos1 quarto,"Est Lázaro Amâncio De Barros, Vila Itaberaba, São Paulo Zona Norte, São Paulo",950
26,norte,60 m² construídos,"Est Lázaro Amâncio De Barros, Vila Itaberaba, São Paulo Zona Norte, São Paulo",1.400
27,norte,80 m² construídos2 quartos,"Sob Consulta, Vila Maria, São Paulo Zona Norte, São Paulo",1.500
28,norte,35 m² construídos1 quarto,"José De Araújo, Vila Medeiros, São Paulo Zona Norte, São Paulo",900
29,norte,35 m² construídos2 quartos,"Kobe, Jardim Japão, São Paulo Zona Norte, São Paulo",750
30,norte,125 m² construídos2 quartos,"Parada Inglesa, São Paulo Zona Norte, São Paulo",3.000
31,norte,44 m² construídos2 quartos,"Jardim São Paulo, São Paulo Zona Norte, São Paulo",1.400
32,norte,55 m² construídos3 quartos,"Kobe, Jardim Japão, São Paulo Zona Norte, São Paulo",1.200
33,norte,70 m² construídos2 quartos,"Brasiluso Lopes  154, Jardim Peri, São Paulo Zona Norte, São Paulo",650
34,norte,80 m² construídos3 quartos,"Jurumirim, Vila Leonor, São Paulo Zona Norte, São Paulo",1.900
35,norte,100 m² construídos3 quartos,"Vila Iório, São Paulo Zona Norte, São Paulo",4.000
36,norte,90 m² construídos2 quartos,"Parelheiros, Jardim Andaraí, São Paulo Zona Norte, São Paulo",2.500
37,norte,200 m² construídos3 quartos,"Vila Mangalot, São Paulo Zona Norte, São Paulo",4.500
38,norte,300 m² construídos4 quartos,"Sítio Morro Grande, São Paulo Zona Norte, São Paulo",4.000
39,norte,129 m² construídos3 quartos,"Rua Paschoal Mastroeni 63, Vila Paulicéia, São Paulo Zona Norte, São Paulo",2.000
40,norte,60 m² construídos1 quarto,"Est Lázaro Amâncio De Barros, Vila Itaberaba, São Paulo Zona Norte, São Paulo",600
41,norte,40 m² construídos2 quartos,"Vila América, São Paulo Zona Norte, São Paulo",900
42,norte,40 m² construídos1 quarto,"Vila Nova Cachoeirinha, São Paulo Zona Norte, São Paulo",1.100
43,norte,12 m² construídos1 quarto,"Kobe, Jardim Japão, São Paulo Zona Norte, São Paulo",600
44,norte,50 m² construídos2 quartos,"Vila América, São Paulo Zona Norte, São Paulo",1.350
45,norte,70 m² construídos2 quartos,"Parque São Luís, São Paulo Zona Norte, São Paulo",1.800
46,norte,100 m² construídos3 quartos,"Santana, São Paulo Zona Norte, São Paulo",3.300
47,norte,32 m² construídos1 quarto,"Jardim Maracanã, São Paulo Zona Norte, São Paulo",950
0,norte,50 m² construídos2 quartos,"Kaneda, Jardim Japão, São Paulo Zona Norte, São Paulo",1.600
1,norte,25 m² construídos1 quarto,"Brasilândia, São Paulo Zona Norte, São Paulo",650
2,norte,100 m² construídos1 quarto,"Vila América, São Paulo Zona Norte, São Paulo",950
3,norte,55 m² construídos1 quarto,"Rua Angelo Alegro  80, Vila Francos, São Paulo Zona Norte, São Paulo",800
4,norte,220 m² construídos3 quartos,"Tremembé, São Paulo Zona Norte, São Paulo",3.100
5,norte,70 m² construídos2 quartos,"Corretores 15, Parque Casa De Pedra, São Paulo Zona Norte, São Paulo",1.700
6,norte,45 m² construídos1 quarto,"Limão, São Paulo Zona Norte, São Paulo",590
7,norte,350 m² construídos,"Avenida Braz Leme, Casa Verde, São Paulo Zona Norte, São Paulo",15.000
8,norte,120 m² construídos,"Rua Doutor César, Santana, São Paulo Zona Norte, São Paulo",6.000
9,norte,1 quarto,"Itaberaba, São Paulo Zona Norte, São Paulo",700
10,norte,30 m² construídos1 quarto,"Vila Nova Cachoeirinha, São Paulo Zona Norte, São Paulo",550
11,norte,45 m² construídos1 quarto,"Limão, São Paulo Zona Norte, São Paulo",590
12,norte,30 m² construídos1 quarto,"Cecília Meireles, Jardim Japão, São Paulo Zona Norte, São Paulo",550
13,norte,60 m² construídos1 quarto,"Est Lázaro Amâncio De Barros, Vila Itaberaba, São Paulo Zona Norte, São Paulo",700
14,norte,100 m² construídos2 quartos,"Rua Carlos Alberto Saponara, Vila Hebe, São Paulo Zona Norte, São Paulo",1.800
15,norte,30 m² construídos1 quarto,"Vila Carbone, São Paulo Zona Norte, São Paulo",870
16,norte,400 m² construídos,"Rua Alfredo Pujol, Santana, São Paulo Zona Norte, São Paulo",6.000
17,norte,120 m² construídos,"Rua Chemim Del Pra, Santana, São Paulo Zona Norte, São Paulo",2.500
18,norte,70 m² construídos2 quartos,"Rua Dos Corretores, 15, Parque Casa De Pedra, São Paulo Zona Norte, São Paulo",1.700
19,norte,56 m² construídos1 quarto,"Vila Cruz Das Almas, São Paulo Zona Norte, São Paulo",750
20,norte,30 m² construídos,"Rua Doutor Artur Guimarães, Santana, São Paulo Zona Norte, São Paulo",2.000
21,norte,120 m² construídos,"Rua Tenente Agenor Soares, Vila Isolina Mazzei, São Paulo Zona Norte, São Paulo",2.500
22,norte,220 m² construídos,"Rua Doutor César, Santana, São Paulo Zona Norte, São Paulo",7.000
23,norte,156 m² construídos3 quartos,"Vila Pereira Cerca, São Paulo Zona Norte, São Paulo",3.500
24,norte,150 m² construídos,"Rua Domingos Fasolari, Casa Verde, São Paulo Zona Norte, São Paulo",1.000
25,norte,100 m² construídos,"Avenida Senador José Ermírio De Moraes, Tremembé, São Paulo Zona Norte, São Paulo",1.300
26,norte,90 m² construídos3 quartos,"R Fúlvio Morganti, Jardim Paraíso, São Paulo Zona Norte, São Paulo",2.400
27,norte,30 m² construídos,"Santana, São Paulo Zona Norte, São Paulo",2.000
28,norte,1 quarto,"Jardim Maracanã, São Paulo Zona Norte, São Paulo",500
29,norte,180 m² construídos2 quartos,"Sob Consulta, Tucuruvi, São Paulo Zona Norte, São Paulo",2.500
30,norte,150 m² construídos3 quartos,"Sob Consulta, Tucuruvi, São Paulo Zona Norte, São Paulo",2.700
31,norte,130 m² construídos3 quartos,"Sob Consulta, Tucuruvi, São Paulo Zona Norte, São Paulo",2.400
32,norte,340 m² construídos4 quartos,"Sob Consulta, Jardim Leonor Mendes De Barros, São Paulo Zona Norte, São Paulo",7.000
33,norte,250 m² construídos3 quartos,"Sob Consulta, Parque Mandaqui, São Paulo Zona Norte, São Paulo",3.500
34,norte,55 m² construídos2 quartos,"Nicolau Tolentino De Almeida 61, Vila Dionisia, São Paulo Zona Norte, São Paulo",1.000
35,norte,50 m² construídos1 quarto,"Gervasio Leite Rebelo 292, Jardim Peri, São Paulo Zona Norte, São Paulo",550
36,norte,50 m² construídos1 quarto,"Trav Doutor Trajano Pupo Neto 92, Lauzane Paulista, São Paulo Zona Norte, São Paulo",500
37,norte,400 m² construídos1 quarto,"Rua Nove De Novembro  384, Vila Amália (capital Zona Norte), São Paulo Zona Norte, São Paulo",450
38,norte,90 m² construídos3 quartos,"Gervasio Leite  292, Jardim Peri, São Paulo Zona Norte, São Paulo",1.100
39,norte,35 m² construídos1 quarto,"Rua Santa Eudoxia 771, Parque Peruche, São Paulo Zona Norte, São Paulo",700
40,norte,20 m² construídos1 quarto,"Kobe, Jardim Japão, São Paulo Zona Norte, São Paulo",750
41,norte,90 m² construídos2 quartos,"Gino Mazone 16, Jardim Monjolo, São Paulo Zona Norte, São Paulo",1.300
42,norte,40 m² construídos1 quarto,"Gervasio Leite Rebelo 292, Jardim Peri, São Paulo Zona Norte, São Paulo",550
43,norte,90 m² construídos2 quartos,"Brasiluso Lopes 154, Jardim Peri, São Paulo Zona Norte, São Paulo",900
44,norte,30 m² construídos1 quarto,"Das Cerejeiras, Jardim Japão, São Paulo Zona Norte, São Paulo",750
45,norte,40 m² construídos2 quartos,"R Liestal 247, Lauzane Paulista, São Paulo Zona Norte, São Paulo",950
46,norte,50 m² construídos1 quarto,"Galileia 800, Casa Verde, São Paulo Zona Norte, São Paulo",650
47,norte,50 m² construídos2 quartos,"Lourdes Vieira 28, Parque Casa De Pedra, São Paulo Zona Norte, São Paulo",1.400
0,norte,90 m² construídos3 quartos,"Jupia 67, Santa Teresinha, São Paulo Zona Norte, São Paulo",1.400
1,norte,40 m² construídos2 quartos,"Planalto Central, Vila Maria Alta, São Paulo Zona Norte, São Paulo",1.000
2,norte,80 m² construídos5 quartos,"Jarbas Niesen 1, Vila Francos, São Paulo Zona Norte, São Paulo",2.000
3,norte,48 m² construídos2 quartos,"Rua Flor De Lis 1651, Vila Brasilândia, São Paulo Zona Norte, São Paulo",920
4,norte,55 m² construídos2 quartos,"Narita, Jardim Japão, São Paulo Zona Norte, São Paulo",1.300
5,norte,90 m² construídos2 quartos,"Rua Tres Fronteiras  111, Jardim Antártica, São Paulo Zona Norte, São Paulo",1.300
6,norte,80 m² construídos2 quartos,"Galeão Coutinho 138, Vila Marina, São Paulo Zona Norte, São Paulo",1.100
