,zona,area_quartos,enderecos_lista,aluguel
2,norte,125 m² construídos3 quartos,"Rua Mateus Garcia, Vila Irmãos Arnoni, São Paulo Zona Norte, São Paulo",2.200
3,norte,40 m² construídos2 quartos,"Alberto Byington, Vila Maria, São Paulo Zona Norte, São Paulo",1.200
4,norte,42 m² construídos1 quarto,"Sargento Agostinho Ferreira, Vila Maria, São Paulo Zona Norte, São Paulo",800
5,norte,750 m² construídos6 quartos,"Rua Genova, Jardim Leonor Mendes De Barros, São Paulo Zona Norte, São Paulo",10.500
6,norte,55 m² construídos2 quartos,"José Bueno, Vila Isolina Mazzei, São Paulo Zona Norte, São Paulo",1.300
7,norte,270 m² construídos3 quartos,"Rua Alcides Godói, Mandaqui, São Paulo Zona Norte, São Paulo",3.000
8,norte,70 m² construídos2 quartos,"Pajuçara 354, Vila Penteado, São Paulo Zona Norte, São Paulo",1.100
9,norte,15 m² construídos1 quarto,"Doutor Afonso Vergueiro, Vila Maria, São Paulo Zona Norte, São Paulo",600
10,norte,35 m² construídos1 quarto,"Das Cerejeiras, Jardim Japão, São Paulo Zona Norte, São Paulo",650
11,norte,22 m² construídos1 quarto,"Nagasaki, Vila Maria Alta, São Paulo Zona Norte, São Paulo",850
12,norte,50 m² construídos1 quarto,"Rua Sylvio Delduque, Água Fria, São Paulo Zona Norte, São Paulo",800
13,norte,68 m² construídos2 quartos,"Rua Erva De Ferro, Vila Boacava, São Paulo Zona Norte, São Paulo",790
14,norte,35 m² construídos1 quarto,"Moreira De Vasconcelos, Vila Maria Alta, São Paulo Zona Norte, São Paulo",800
15,norte,65 m² construídos1 quarto,"Jorge Bron, Vila Maria Alta, São Paulo Zona Norte, São Paulo",1.200
16,norte,50 m² construídos1 quarto,"Das Cerejeiras, Jardim Japão, São Paulo Zona Norte, São Paulo",900
17,norte,40 m² construídos1 quarto,"Vila Guaca, São Paulo Zona Norte, São Paulo",800
18,norte,35 m² construídos1 quarto,"Soldado Abel Antônio Medanha, Parque Novo Mundo, São Paulo Zona Norte, São Paulo",650
19,norte,102 m² construídos2 quartos,"Rua Amambaí, Vila Maria, São Paulo Zona Norte, São Paulo",2.300
20,norte,40 m² construídos2 quartos,"Manuel Gaya, Vila Nova Mazzei, São Paulo Zona Norte, São Paulo",1.300
21,norte,80 m² construídos2 quartos,"Rua Cônego Luís Gonzaga Biazi  206, Carandiru, São Paulo Zona Norte, São Paulo",1.600
22,norte,60 m² construídos1 quarto,"Manuel Aquilino Dos Santos 975, Brasilândia, São Paulo Zona Norte, São Paulo",900
23,norte,60 m² construídos1 quarto,"Fúlvio Morganti, Jardim Paraíso, São Paulo Zona Norte, São Paulo",950
24,norte,90 m² construídos1 quarto,"Rua Horácio Vergueiro Rudge 223, Casa Verde Média, São Paulo Zona Norte, São Paulo",700
25,norte,35 m² construídos1 quarto,"Moreira De Vasconcelos, Vila Maria Alta, São Paulo Zona Norte, São Paulo",900
26,norte,40 m² construídos1 quarto,"Das Cerejeiras, Jardim Japão, São Paulo Zona Norte, São Paulo",900
27,norte,800 m² construídos5 quartos,"Rua Antonieta Del Picchia, Jardim Ibiratiba, São Paulo Zona Norte, São Paulo",6.250
28,norte,70 m² construídos2 quartos,"Pajuçara 360, Vila Penteado, São Paulo Zona Norte, São Paulo",1.350
29,norte,150 m² construídos3 quartos,"Rua Francisco Ursaia, Jardim Regina, São Paulo Zona Norte, São Paulo",2.600
30,norte,150 m² construídos3 quartos,"Jardim Cidade Pirituba, São Paulo Zona Norte, São Paulo",2.500
31,norte,104 m² construídos2 quartos,"Rua Amambaí, Vila Maria Baixa, São Paulo Zona Norte, São Paulo",2.300
32,norte,40 m² construídos1 quarto,"Samurais, Vila Maria Alta, São Paulo Zona Norte, São Paulo",1.000
33,norte,70 m² construídos1 quarto,"Rua Dom Carlos Gouveia 36, Jardim Peri, São Paulo Zona Norte, São Paulo",750
34,norte,20 m² construídos1 quarto,"Miguel Soares Ferreira Júnior, Vila Leonor, São Paulo Zona Norte, São Paulo",700
35,norte,2 quartos,"Limão, São Paulo Zona Norte, São Paulo",1.500
36,norte,50 m² totais1 quarto,"Rua Horácio Vergueiro Rudge, Casa Verde, São Paulo Zona Norte, São Paulo",700
37,norte,50 m² construídos1 quarto,"Bandeirantes Do Sul, Jardim Japão, São Paulo Zona Norte, São Paulo",1.200
38,norte,40 m² construídos2 quartos,"Yamato, Jardim Japão, São Paulo Zona Norte, São Paulo",1.500
39,norte,35 m² construídos1 quarto,"Vila Mangalot, São Paulo Zona Norte, São Paulo",700
40,norte,45 m² construídos2 quartos,"Rua Capitão Ulisses Soares De Campos 328, Jardim Peri, São Paulo Zona Norte, São Paulo",1.000
41,norte,100 m² construídos2 quartos,"Sob Consulta, Horto Florestal, São Paulo Zona Norte, São Paulo",1.100
42,norte,200 m² construídos1 quarto,"Rafael Da Silva  6, Parque Palmas Do Tremembé, São Paulo Zona Norte, São Paulo",1.150
43,norte,45 m² construídos1 quarto,"Geolândia, Vila Medeiros, São Paulo Zona Norte, São Paulo",800
44,norte,280 m² construídos4 quartos,"Rua Rafael Arnoni, Vila Irmãos Arnoni, São Paulo Zona Norte, São Paulo",6.700
45,norte,620 m² construídos3 quartos,"Rua Albertina, Tremembé, São Paulo Zona Norte, São Paulo",8.000
46,norte,130 m² construídos3 quartos,"Rua Ângelo Ricchiutti, Jardim Paraíso, São Paulo Zona Norte, São Paulo",2.800
47,norte,74 m² construídos2 quartos,"Jardim Regina, São Paulo Zona Norte, São Paulo",2.000
0,norte,300 m² construídos7 quartos,"Avenida Nova Cantareira, Tucuruvi, São Paulo Zona Norte, São Paulo",5.900
1,norte,"1,000 m² construídos4 quartos","Tremembé, São Paulo Zona Norte, São Paulo",2.900.000
2,norte,300 m² construídos4 quartos,"Rua Jerônimo Camargo, Vila Irmãos Arnoni, São Paulo Zona Norte, São Paulo",7.500
3,norte,50 m² construídos1 quarto,"Rua Claro De Vasconcelos, Vila Boacava, São Paulo Zona Norte, São Paulo",800
4,norte,87 m² construídos2 quartos,"R Vilar Do Monte, Imirim, São Paulo Zona Norte, São Paulo",2.600
5,norte,320 m² construídos3 quartos,"Rua Brito Peixoto, Vila Primavera, São Paulo Zona Norte, São Paulo",8.000
6,norte,35 m² construídos2 quartos,"Luís Pedroso, Jardim Japão, São Paulo Zona Norte, São Paulo",1.150
7,norte,315 m² construídos4 quartos,"R Doutor Olavo Egídio, Santana, São Paulo Zona Norte, São Paulo",9.700
8,norte,89 m² construídos2 quartos,"Rua Vilar Do Monte, Imirim, São Paulo Zona Norte, São Paulo",2.600
9,norte,320 m² construídos3 quartos,"R Nogueira Acioli, Jardim São Paulo, São Paulo Zona Norte, São Paulo",5.500
10,norte,35 m² construídos1 quarto,"Rua Antonio Cavazan 389, Parque Peruche, São Paulo Zona Norte, São Paulo",720
11,norte,190 m² construídos3 quartos,"Rua Soldado Clóvis Rosa Da Silva, Parque Novo Mundo, São Paulo Zona Norte, São Paulo",2.700
12,norte,150 m² construídos3 quartos,"Avenida Itaberaba, Itaberaba, São Paulo Zona Norte, São Paulo",3.500
13,norte,25 m² construídos1 quarto,"Moreira De Vasconcelos, Vila Maria Alta, São Paulo Zona Norte, São Paulo",850
14,norte,300 m² construídos6 quartos,"R Almirante Noronha, Jardim São Paulo, São Paulo Zona Norte, São Paulo",5.500
15,norte,30 m² construídos1 quarto,"Osaka, Jardim Japão, São Paulo Zona Norte, São Paulo",600
16,norte,850 m² construídos4 quartos,"Rua José Vicente, Tremembé, São Paulo Zona Norte, São Paulo",16.000
17,norte,60 m² construídos2 quartos,"Padre Sabóia De Medeiros, Vila Maria Alta, São Paulo Zona Norte, São Paulo",1.200
18,norte,390 m² construídos4 quartos,"R Tobias Moscoso, Jardim São Paulo, São Paulo Zona Norte, São Paulo",9.000
19,norte,240 m² construídos3 quartos,"R Orminda, Vila Santa Maria, São Paulo Zona Norte, São Paulo",5.500
20,norte,432 m² construídos4 quartos,"Acailandia, Parque Edu Chaves, São Paulo Zona Norte, São Paulo",6.000
21,norte,30 m² construídos1 quarto,"Jardim Cidade Pirituba, São Paulo Zona Norte, São Paulo",1.000
22,norte,30 m² construídos1 quarto,"Dona Albertina Domingos, Vila Maria Alta, São Paulo Zona Norte, São Paulo",900
23,norte,35 m² construídos1 quarto,"Rua Doutor Paulo Gatti, Vila Romero, São Paulo Zona Norte, São Paulo",1.049
24,norte,70 m² construídos2 quartos,"Dr Trajano Pupo Neto 92, Lauzane Paulista, São Paulo Zona Norte, São Paulo",1.000
25,norte,80 m² construídos1 quarto,"Amaro De Morais, Vila Sabrina, São Paulo Zona Norte, São Paulo",800
26,norte,30 m² construídos1 quarto,"Roque Soares Medella, Parque Novo Mundo, São Paulo Zona Norte, São Paulo",850
27,norte,400 m² construídos4 quartos,"Rua Salvador Padilha Gimenes, Vila Santa Maria, São Paulo Zona Norte, São Paulo",6.000
28,norte,80 m² construídos4 quartos,"Rua Caburés Do Sol 373, Jardim Peri, São Paulo Zona Norte, São Paulo",250.000
29,norte,50 m² construídos1 quarto,"Rua Quartim Barbosa, 170, Vila Santa Maria, São Paulo Zona Norte, São Paulo",1.100
30,norte,50 m² construídos1 quarto,"Rua Engenheiro Marcílio Cardoso, Jardim Regina, São Paulo Zona Norte, São Paulo",750
31,norte,40 m² construídos1 quarto,"Jacuna 291, Carandiru, São Paulo Zona Norte, São Paulo",1.100
32,norte,65 m² construídos3 quartos,"Engenheiro Joaquim Sampaio Ferraz, Vila Mazzei, São Paulo Zona Norte, São Paulo",1.500
33,norte,150 m² construídos3 quartos,"R Valter Eder, Vila Irmãos Arnoni, São Paulo Zona Norte, São Paulo",2.500
34,norte,150 m² totais3 quartos,"Santana, São Paulo Zona Norte, São Paulo",3.000
35,norte,120 m² construídos3 quartos,"Jardim Peri, São Paulo Zona Norte, São Paulo",2.600
36,norte,40 m² construídos1 quarto,"Padre Sabóia De Medeiros, Vila Maria Alta, São Paulo Zona Norte, São Paulo",1.100
37,norte,33 m² construídos1 quarto,"Rua Crixanas, Vila Nova Cachoeirinha, São Paulo Zona Norte, São Paulo",800
38,norte,50 m² construídos1 quarto,"Avenida Antônio Munhoz Bonilha, 869, Vila Palmeiras, São Paulo Zona Norte, São Paulo",950
39,norte,50 m² construídos2 quartos,"Aimutong, Tucuruvi, São Paulo Zona Norte, São Paulo",1.500
40,norte,35 m² construídos1 quarto,"Doutor Afonso Vergueiro, Vila Maria, São Paulo Zona Norte, São Paulo",850
41,norte,20 m² construídos1 quarto,"Nicolau Rossetti, Vila Medeiros, São Paulo Zona Norte, São Paulo",1.800
42,norte,90 m² construídos3 quartos,"Rua Professora Romilde Nogueira De Sá, Imirim, São Paulo Zona Norte, São Paulo",2.300
43,norte,60 m² construídos1 quarto,"Fúlvio Morganti, Jardim Paraíso, São Paulo Zona Norte, São Paulo",990
44,norte,250 m² construídos3 quartos,"Vila Nova Cachoeirinha, São Paulo Zona Norte, São Paulo",5.000
45,norte,60 m² construídos1 quarto,"Das Cerejeiras, Jardim Japão, São Paulo Zona Norte, São Paulo",1.100
46,norte,150 m² construídos3 quartos,"Amambaí, Vila Maria, São Paulo Zona Norte, São Paulo",2.500
47,norte,130 m² construídos3 quartos,"Horto Florestal, São Paulo Zona Norte, São Paulo",3.200
0,sul,450 m² construídos3 quartos,"Rua Ouvidor Portugal, 157, Vila Monumento, São Paulo Zona Sul, São Paulo",5.000
1,sul,341 m² construídos4 quartos,"Rua Enjolras Vampre, 166, Jardim Da Saúde, São Paulo Zona Sul, São Paulo",5.000
2,sul,150 m² construídos3 quartos,"Rua Bitencourt Sampaio, 40, Vila Mariana, São Paulo Zona Sul, São Paulo",5.000
3,sul,168 m² construídos,"Vila Olímpia, São Paulo Zona Sul, São Paulo",5.000
4,sul,200 m² construídos,"Rua Napoleão De Barros, 546, Vila Clementino, São Paulo Zona Sul, São Paulo",4.500
5,sul,40 m² construídos1 quarto,"Álvaro Fragoso 463, Vila Independência, São Paulo Zona Sul, São Paulo",900
6,sul,30 m² construídos1 quarto,"Rua Engenheiro Silva Braga 202, Vila Brasilina, São Paulo Zona Sul, São Paulo",700
7,sul,60 m² construídos1 quarto,"Rua Almirante Lobo 991, Ipiranga, São Paulo Zona Sul, São Paulo",1.500
8,sul,80 m² construídos2 quartos,"Rua Miracatu 203, Ipiranga, São Paulo Zona Sul, São Paulo",1.900
9,sul,110 m² construídos3 quartos,"Ituanos 139, Ipiranga, São Paulo Zona Sul, São Paulo",2.700
10,sul,40 m² construídos1 quarto,"Rua Pérsia, Vila Marte, São Paulo Zona Sul, São Paulo",1.100
11,sul,"1,200 m² construídos1 quarto","Avenida Brigadeiro Luís Antônio, Jardim Paulista, São Paulo Zona Sul, São Paulo",95.000
12,sul,386 m² construídos,"Avenida Santo Amaro, Santo Amaro, São Paulo Zona Sul, São Paulo",20.000
13,sul,80 m² construídos2 quartos,"Paulo Bregaro 594, Vila Monumento, São Paulo Zona Sul, São Paulo",2.350
14,sul,518 m² construídos,"Doutor Francisco Malta Cardoso, Jardim Cordeiro, São Paulo Zona Sul, São Paulo",12.000
15,sul,140 m² construídos3 quartos,"Avenida Santo Amaro,
                3773, Brooklin Paulista, São Paulo Zona Sul, São Paulo",5.500
16,sul,250 m² construídos3 quartos,"República Do Iraque 1181, Campo Belo, São Paulo Zona Sul, São Paulo",1.500.000
17,sul,573 m² construídos,"Senador Vergueiro, Santo Amaro, São Paulo Zona Sul, São Paulo",18.000
18,sul,200 m² construídos3 quartos,"Rua João Gomes Batista, 171, Jardim Cidália, São Paulo Zona Sul, São Paulo",2.650
19,sul,70 m² construídos3 quartos,"Budapeste 253, Sacomã, São Paulo Zona Sul, São Paulo",1.800
20,sul,30 m² construídos1 quarto,"Joao Mario De Jesus, Jardim Castro Alves, São Paulo Zona Sul, São Paulo",650
21,sul,30 m² construídos1 quarto,"Americanópolis, São Paulo Zona Sul, São Paulo",600
22,sul,25 m² construídos1 quarto,"Americanópolis, São Paulo Zona Sul, São Paulo",600
23,sul,25 m² construídos1 quarto,"Americanópolis, São Paulo Zona Sul, São Paulo",600
24,sul,20 m² construídos1 quarto,"Americanópolis, São Paulo Zona Sul, São Paulo",500
25,sul,474 m² construídos4 quartos,"Jardim Da Glória, São Paulo Zona Sul, São Paulo",10.000
26,sul,314 m² construídos2 quartos,"Vila São José, São Paulo Zona Sul, São Paulo",4.100
27,sul,330 m² construídos3 quartos,"Vila Monumento, São Paulo Zona Sul, São Paulo",3.800
28,sul,200 m² construídos3 quartos,"Vila Monumento, São Paulo Zona Sul, São Paulo",4.000
29,sul,106 m² construídos2 quartos,"Bittencourt Sampaio 155, Vila Mariana, São Paulo Zona Sul, São Paulo",3.800
30,sul,120 m² construídos2 quartos,"Rua Alvorada  91, Vila Olímpia, São Paulo Zona Sul, São Paulo",4.300
31,sul,28 m² construídos1 quarto,"Rua Doutor Clemente Jobim,, Jardim Da Glória, São Paulo Zona Sul, São Paulo",1.800
32,sul,110 m² construídos3 quartos,"Jardim Da Glória, São Paulo Zona Sul, São Paulo",2.700
33,sul,180 m² construídos2 quartos,"Vila Mariana, São Paulo Zona Sul, São Paulo",4.000
34,sul,120 m² construídos2 quartos,"Vila Brasilina, São Paulo Zona Sul, São Paulo",1.700
35,sul,100 m² construídos3 quartos,"Vila Do Encontro, São Paulo Zona Sul, São Paulo",1.900
36,sul,114 m² construídos2 quartos,"Rua Brejo Alegre, Brooklin Paulista, São Paulo Zona Sul, São Paulo",3.500
37,sul,25 m² construídos1 quarto,"Vila Babilônia, São Paulo Zona Sul, São Paulo",750
38,sul,125 m² construídos2 quartos,"Jardim Dos Álamos, São Paulo Zona Sul, São Paulo",1.050
39,sul,1 quarto,"Vila Marte, São Paulo Zona Sul, São Paulo",1.200
40,sul,764 m² construídos,"Rua Groenlândia, Jardim América, São Paulo Zona Sul, São Paulo",70.000
41,sul,500 m² construídos8 quartos,"Rua Moreira E Costa, Ipiranga, São Paulo Zona Sul, São Paulo",10.000
42,sul,200 m² construídos3 quartos,"Vila Guarani (z Sul), São Paulo Zona Sul, São Paulo",3.500
43,sul,40 m² construídos1 quarto,"Rua Huet Bacelar, Ipiranga, São Paulo Zona Sul, São Paulo",1.500
44,sul,148 m² construídos,"Alameda Jaú, Jardim Paulista, São Paulo Zona Sul, São Paulo",10.000
45,sul,88 m² construídos,"Rua Edson, Campo Belo, São Paulo Zona Sul, São Paulo",3.000
46,sul,90 m² construídos2 quartos,"Avenida Onze De Junho, Vila Clementino, São Paulo Zona Sul, São Paulo",2.700
47,sul,130 m² construídos2 quartos,"Rua  Gregorio Vilalva, Cupecê, São Paulo Zona Sul, São Paulo",3.750
0,sul,461 m² construídos5 quartos,"Brooklin Paulista, São Paulo Zona Sul, São Paulo",19.500
1,sul,"1,300 m² construídos5 quartos","Rua Dos Alcatrazes, Chácara Flora, São Paulo Zona Sul, São Paulo",42.000
2,sul,220 m² construídos,"Avenida Indianópolis, Indianópolis, São Paulo Zona Sul, São Paulo",10.000
3,sul,450 m² construídos,"Rua Ribeiro Lacerda, Bosque Da Saúde, São Paulo Zona Sul, São Paulo",7.000
4,sul,250 m² construídos3 quartos,"Jardim Celeste, São Paulo Zona Sul, São Paulo",3.000
5,sul,100 m² construídos2 quartos,"Ipiranga, São Paulo Zona Sul, São Paulo",3.000
6,sul,356 m² construídos4 quartos,"Jardim Paulista, São Paulo Zona Sul, São Paulo",18.000
7,sul,300 m² construídos1 quarto,"Rua Bamboré, Ipiranga, São Paulo Zona Sul, São Paulo",6.500
8,sul,226 m² construídos5 quartos,"Rua Leais Paulistanos, Ipiranga, São Paulo Zona Sul, São Paulo",4.000
9,sul,324 m² construídos,"Vila Mariana, São Paulo Zona Sul, São Paulo",6.500
10,sul,192 m² construídos,"Vila Clementino, São Paulo Zona Sul, São Paulo",6.000
11,sul,260 m² construídos4 quartos,"Rua Doutor Jesuíno Maciel, Campo Belo, São Paulo Zona Sul, São Paulo",7.000
12,sul,160 m² construídos3 quartos,"Rua Doutor Elisio De Castro, Vila Dom Pedro I, São Paulo Zona Sul, São Paulo",2.700
13,sul,5 quartos,"Vila Congonhas, São Paulo Zona Sul, São Paulo",6.500
14,sul,434 m² construídos,"Avenida Antônio Joaquim De Moura Andrade, Vila Nova Conceição, São Paulo Zona Sul, São Paulo",50.000
15,sul,175 m² construídos2 quartos,"Rua Sabiá, Indianópolis, São Paulo Zona Sul, São Paulo",6.800
16,sul,80 m² construídos2 quartos,"Vila Cruzeiro, São Paulo Zona Sul, São Paulo",1.500
17,sul,60 m² construídos2 quartos,"Rua Garcia Velho, Vila Monumento, São Paulo Zona Sul, São Paulo",1.500
18,sul,400 m² construídos1 quarto,"Rua Baronesa De Bela Vista, Vila Congonhas, São Paulo Zona Sul, São Paulo",15.000
19,sul,300 m² construídos3 quartos,"Rua Ribeiro Lacerda, Bosque Da Saúde, São Paulo Zona Sul, São Paulo",7.000
20,sul,290 m² construídos,"Rua Pirapora, Vila Mariana, São Paulo Zona Sul, São Paulo",14.000
21,sul,550 m² construídos,"Nova Piraju, São Paulo Zona Sul, São Paulo",30.000
22,sul,2 quartos,"Jardim Maria Estela, São Paulo Zona Sul, São Paulo",850
23,sul,538 m² construídos1 quarto,"Rua Lourenço Marques, Vila Olímpia, São Paulo Zona Sul, São Paulo",30.000
24,sul,150 m² construídos3 quartos,"Largo Senador Raul Cardoso, Vila Clementino, São Paulo Zona Sul, São Paulo",5.000
25,sul,281 m² construídos3 quartos,"Rua Domiciano Leite Ribeiro, Vila Guarani (z Sul), São Paulo Zona Sul, São Paulo",6.500
26,sul,160 m² construídos3 quartos,"Aclimação, São Paulo Zona Sul, São Paulo",4.100
27,sul,192 m² construídos1 quarto,"Vila Mariana, São Paulo Zona Sul, São Paulo",4.100
28,sul,210 m² construídos1 quarto,"Rua Oscar Guanabarino, Aclimação, São Paulo Zona Sul, São Paulo",7.000
29,sul,70 m² construídos2 quartos,"Rua Almirante Lobo, Ipiranga, São Paulo Zona Sul, São Paulo",1.750
30,sul,50 m² construídos2 quartos,"Rua Garcia Velho, Vila Monumento, São Paulo Zona Sul, São Paulo",1.700
31,sul,301 m² construídos2 quartos,"Rua Gervásio Pires Ferreira, Planalto Paulista, São Paulo Zona Sul, São Paulo",3.500
32,sul,120 m² construídos,"Vila Mariana, São Paulo Zona Sul, São Paulo",7.000
33,sul,80 m² construídos,"Vila Mariana, São Paulo Zona Sul, São Paulo",4.500
34,sul,120 m² construídos2 quartos,"Santo Amaro, São Paulo Zona Sul, São Paulo",5.000
35,sul,51 m² construídos1 quarto,"Cidade Domitila, Cidade Domitila, São Paulo Zona Sul, São Paulo",1.000
36,sul,80 m² construídos2 quartos,"Vila Brasílio Machado, São Paulo Zona Sul, São Paulo",1.700
37,sul,100 m² construídos2 quartos,"Rua Arcipreste Andrade, Ipiranga, São Paulo Zona Sul, São Paulo",3.500
38,sul,200 m² construídos4 quartos,"Rua Barrânia, Jardim Oriental, São Paulo Zona Sul, São Paulo",4.000
39,sul,141 m² construídos1 quarto,"Rua Graúna, Vila Uberabinha, São Paulo Zona Sul, São Paulo",7.000
40,sul,260 m² construídos,"Indianópolis, São Paulo Zona Sul, São Paulo",6.000
41,sul,431 m² construídos4 quartos,"Santo Amaro, São Paulo Zona Sul, São Paulo",6.000
42,sul,50 m² construídos2 quartos,"Vila Do Encontro, São Paulo Zona Sul, São Paulo",1.500
43,sul,100 m² construídos2 quartos,"Vila Brasílio Machado, São Paulo Zona Sul, São Paulo",1.800
44,sul,25 m² construídos1 quarto,"Da Paz, Chácara Santo Antônio, São Paulo Zona Sul, São Paulo",1.200
45,sul,187 m² construídos3 quartos,"R Capitão Otávio Machado, Chácara Santo Antônio, São Paulo Zona Sul, São Paulo",3.100
46,sul,740 m² construídos3 quartos,"R Das Barcas, Jardim Dos Estados, São Paulo Zona Sul, São Paulo",22.000
47,sul,285 m² construídos,"Avenida Santo Amaro, Santo Amaro, São Paulo Zona Sul, São Paulo",20.000
0,sul,461 m² construídos5 quartos,"Brooklin Paulista, São Paulo Zona Sul, São Paulo",19.500
1,sul,"1,300 m² construídos5 quartos","Rua Dos Alcatrazes, Chácara Flora, São Paulo Zona Sul, São Paulo",42.000
2,sul,220 m² construídos,"Avenida Indianópolis, Indianópolis, São Paulo Zona Sul, São Paulo",10.000
3,sul,450 m² construídos,"Rua Ribeiro Lacerda, Bosque Da Saúde, São Paulo Zona Sul, São Paulo",7.000
4,sul,250 m² construídos3 quartos,"Jardim Celeste, São Paulo Zona Sul, São Paulo",3.000
5,sul,100 m² construídos2 quartos,"Ipiranga, São Paulo Zona Sul, São Paulo",3.000
6,sul,356 m² construídos4 quartos,"Jardim Paulista, São Paulo Zona Sul, São Paulo",18.000
7,sul,300 m² construídos1 quarto,"Rua Bamboré, Ipiranga, São Paulo Zona Sul, São Paulo",6.500
8,sul,226 m² construídos5 quartos,"Rua Leais Paulistanos, Ipiranga, São Paulo Zona Sul, São Paulo",4.000
9,sul,324 m² construídos,"Vila Mariana, São Paulo Zona Sul, São Paulo",6.500
10,sul,192 m² construídos,"Vila Clementino, São Paulo Zona Sul, São Paulo",6.000
11,sul,260 m² construídos4 quartos,"Rua Doutor Jesuíno Maciel, Campo Belo, São Paulo Zona Sul, São Paulo",7.000
12,sul,160 m² construídos3 quartos,"Rua Doutor Elisio De Castro, Vila Dom Pedro I, São Paulo Zona Sul, São Paulo",2.700
13,sul,5 quartos,"Vila Congonhas, São Paulo Zona Sul, São Paulo",6.500
14,sul,434 m² construídos,"Avenida Antônio Joaquim De Moura Andrade, Vila Nova Conceição, São Paulo Zona Sul, São Paulo",50.000
15,sul,175 m² construídos2 quartos,"Rua Sabiá, Indianópolis, São Paulo Zona Sul, São Paulo",6.800
16,sul,80 m² construídos2 quartos,"Vila Cruzeiro, São Paulo Zona Sul, São Paulo",1.500
17,sul,60 m² construídos2 quartos,"Rua Garcia Velho, Vila Monumento, São Paulo Zona Sul, São Paulo",1.500
18,sul,400 m² construídos1 quarto,"Rua Baronesa De Bela Vista, Vila Congonhas, São Paulo Zona Sul, São Paulo",15.000
19,sul,300 m² construídos3 quartos,"Rua Ribeiro Lacerda, Bosque Da Saúde, São Paulo Zona Sul, São Paulo",7.000
20,sul,290 m² construídos,"Rua Pirapora, Vila Mariana, São Paulo Zona Sul, São Paulo",14.000
21,sul,550 m² construídos,"Nova Piraju, São Paulo Zona Sul, São Paulo",30.000
22,sul,2 quartos,"Jardim Maria Estela, São Paulo Zona Sul, São Paulo",850
23,sul,538 m² construídos1 quarto,"Rua Lourenço Marques, Vila Olímpia, São Paulo Zona Sul, São Paulo",30.000
24,sul,150 m² construídos3 quartos,"Largo Senador Raul Cardoso, Vila Clementino, São Paulo Zona Sul, São Paulo",5.000
25,sul,281 m² construídos3 quartos,"Rua Domiciano Leite Ribeiro, Vila Guarani (z Sul), São Paulo Zona Sul, São Paulo",6.500
26,sul,160 m² construídos3 quartos,"Aclimação, São Paulo Zona Sul, São Paulo",4.100
27,sul,192 m² construídos1 quarto,"Vila Mariana, São Paulo Zona Sul, São Paulo",4.100
28,sul,210 m² construídos1 quarto,"Rua Oscar Guanabarino, Aclimação, São Paulo Zona Sul, São Paulo",7.000
29,sul,70 m² construídos2 quartos,"Rua Almirante Lobo, Ipiranga, São Paulo Zona Sul, São Paulo",1.750
30,sul,50 m² construídos2 quartos,"Rua Garcia Velho, Vila Monumento, São Paulo Zona Sul, São Paulo",1.700
31,sul,301 m² construídos2 quartos,"Rua Gervásio Pires Ferreira, Planalto Paulista, São Paulo Zona Sul, São Paulo",3.500
32,sul,120 m² construídos,"Vila Mariana, São Paulo Zona Sul, São Paulo",7.000
33,sul,80 m² construídos,"Vila Mariana, São Paulo Zona Sul, São Paulo",4.500
34,sul,120 m² construídos2 quartos,"Santo Amaro, São Paulo Zona Sul, São Paulo",5.000
35,sul,51 m² construídos1 quarto,"Cidade Domitila, Cidade Domitila, São Paulo Zona Sul, São Paulo",1.000
36,sul,80 m² construídos2 quartos,"Vila Brasílio Machado, São Paulo Zona Sul, São Paulo",1.700
37,sul,100 m² construídos2 quartos,"Rua Arcipreste Andrade, Ipiranga, São Paulo Zona Sul, São Paulo",3.500
38,sul,200 m² construídos4 quartos,"Rua Barrânia, Jardim Oriental, São Paulo Zona Sul, São Paulo",4.000
39,sul,141 m² construídos1 quarto,"Rua Graúna, Vila Uberabinha, São Paulo Zona Sul, São Paulo",7.000
40,sul,260 m² construídos,"Indianópolis, São Paulo Zona Sul, São Paulo",6.000
41,sul,431 m² construídos4 quartos,"Santo Amaro, São Paulo Zona Sul, São Paulo",6.000
42,sul,50 m² construídos2 quartos,"Vila Do Encontro, São Paulo Zona Sul, São Paulo",1.500
43,sul,100 m² construídos2 quartos,"Vila Brasílio Machado, São Paulo Zona Sul, São Paulo",1.800
44,sul,25 m² construídos1 quarto,"Da Paz, Chácara Santo Antônio, São Paulo Zona Sul, São Paulo",1.200
45,sul,187 m² construídos3 quartos,"R Capitão Otávio Machado, Chácara Santo Antônio, São Paulo Zona Sul, São Paulo",3.100
46,sul,740 m² construídos3 quartos,"R Das Barcas, Jardim Dos Estados, São Paulo Zona Sul, São Paulo",22.000
47,sul,285 m² construídos,"Avenida Santo Amaro, Santo Amaro, São Paulo Zona Sul, São Paulo",20.000
0,sul,285 m² construídos3 quartos,"Takashi Ykko, Jardim Caravelas, São Paulo Zona Sul, São Paulo",7.000
1,sul,140 m² construídos3 quartos,"Fernandes Moreira, Chácara Santo Antônio, São Paulo Zona Sul, São Paulo",3.500
2,sul,140 m² construídos,"Carlos Chagas, Aclimação, São Paulo Zona Sul, São Paulo",4.500
3,sul,84 m² construídos,"Daphne Dalla Torre Natale, Vila Sofia, São Paulo Zona Sul, São Paulo",4.500
